bu_code;bu_naam;gm_naam
BU00140000;Binnenstad-Noord;Groningen
BU00140001;Binnenstad-Zuid;Groningen
BU00140002;Binnenstad-Oost;Groningen
BU00140003;Binnenstad-West;Groningen
BU00140004;Noorderplantsoen;Groningen
BU00140005;Hortusbuurt-Ebbingekwartier;Groningen
BU00140007;UMCG;Groningen
BU00140008;Stationsgebied;Groningen
BU00140100;De Meeuwen;Groningen
BU00140101;Oosterpoort;Groningen
BU00140102;Herewegbuurt;Groningen
BU00140103;Rivierenbuurt;Groningen
BU00140104;Grunobuurt;Groningen
BU00140105;Badstratenbuurt;Groningen
BU00140106;Zeeheldenbuurt;Groningen
BU00140107;Laanhuizen;Groningen
BU00140108;Stadspark;Groningen
BU00140109;Martini Trade Park;Groningen
BU00140110;Peizerweg;Groningen
BU00140200;Oranjebuurt;Groningen
BU00140201;Noorderplantsoenbuurt;Groningen
BU00140202;Schildersbuurt;Groningen
BU00140203;Kostverloren;Groningen
BU00140300;De Hoogte;Groningen
BU00140301;Indische buurt;Groningen
BU00140302;Professorenbuurt;Groningen
BU00140400;Gorechtbuurt;Groningen
BU00140401;Vogelbuurt;Groningen
BU00140402;Bloemenbuurt;Groningen
BU00140403;Florabuurt;Groningen
BU00140404;Damsterbuurt;Groningen
BU00140500;De Linie;Groningen
BU00140501;Europapark;Groningen
BU00140502;Eemskanaal;Groningen
BU00140503;Kop van Oost;Groningen
BU00140504;Woonschepenhaven;Groningen
BU00140505;Driebond;Groningen
BU00140506;Eemspoort;Groningen
BU00140507;Euvelgunne;Groningen
BU00140508;Winschoterdiep;Groningen
BU00140509;Stainkoel'n;Groningen
BU00140510;Roodehaan;Groningen
BU00140511;Waterhuizen;Groningen
BU00140600;Sterrebosbuurt;Groningen
BU00140601;Coendersborg;Groningen
BU00140602;Klein Martijn;Groningen
BU00140603;Villabuurt;Groningen
BU00140604;Helpman;Groningen
BU00140605;De Wijert;Groningen
BU00140606;De Wijert-Zuid;Groningen
BU00140700;Corpus den Hoorn;Groningen
BU00140701;Hoornse Meer;Groningen
BU00140702;Hoornse Park;Groningen
BU00140703;Van Swieten;Groningen
BU00140704;Piccardthof;Groningen
BU00140705;Bruilweering;Groningen
BU00140800;Hoogkerk Dorp;Groningen
BU00140801;Hoogkerk-Zuid;Groningen
BU00140802;Westpoort;Groningen
BU00140803;Vierverlaten;Groningen
BU00140804;Zuidwending;Groningen
BU00140805;Leegkerk;Groningen
BU00140806;Gravenburg;Groningen
BU00140809;Bangeweer;Groningen
BU00140810;De Buitenhof;Groningen
BU00140811;Kranenburg;Groningen
BU00140812;De Kring;Groningen
BU00140900;Vinkhuizen-Noord;Groningen
BU00140901;Vinkhuizen-Zuid;Groningen
BU00140902;Hoendiep;Groningen
BU00140903;Friesestraatweg;Groningen
BU00140904;Reitdiep;Groningen
BU00140905;Dorkwerd;Groningen
BU00140906;De Held;Groningen
BU00140907;Westpark;Groningen
BU00140908;De Suikerzijde-Noord;Groningen
BU00140909;De Suikerzijde-Zuid;Groningen
BU00141000;Selwerd;Groningen
BU00141001;Paddepoel-Zuid;Groningen
BU00141002;Paddepoel-Noord;Groningen
BU00141003;Zernike Campus;Groningen
BU00141004;Selwerderhof;Groningen
BU00141005;Tuinwijk;Groningen
BU00141100;Beijum-West;Groningen
BU00141101;Beijum-Oost;Groningen
BU00141102;De Hunze;Groningen
BU00141103;Van Starkenborgh;Groningen
BU00141104;Noorderhoogebrug;Groningen
BU00141105;Het Witte Lam;Groningen
BU00141106;Koningslaagte;Groningen
BU00141107;Hunzeboord;Groningen
BU00141200;Lewenborg-Noord;Groningen
BU00141201;Lewenborg-Zuid;Groningen
BU00141202;Lewenborg-West;Groningen
BU00141203;Oosterhoogebrug;Groningen
BU00141204;Ulgersmaborg;Groningen
BU00141205;Hunzepark;Groningen
BU00141206;Zilvermeer;Groningen
